embeddings_name,Num_Topics,n_neighbors,n_components,min_cluster_size,min_samples,cluster_selection_method,topic_coherence_c_v
all-mpnet-base-v2,20,25,20,10,20,eom,0.4867178405244521
all-mpnet-base-v2,8,25,20,20,20,eom,0.4867178405244521
all-mpnet-base-v2,10,25,20,15,20,eom,0.4867178405244521
all-mpnet-base-v2,14,25,20,20,20,eom,0.4867178405244521
all-mpnet-base-v2,8,25,20,10,20,eom,0.4867178405244521
all-mpnet-base-v2,20,25,20,15,20,eom,0.4867178405244521
all-mpnet-base-v2,18,25,20,15,20,eom,0.4867178405244521
all-mpnet-base-v2,8,25,20,5,20,eom,0.4867178405244521
all-mpnet-base-v2,14,25,20,15,20,eom,0.4867178405244521
all-mpnet-base-v2,16,25,20,5,20,eom,0.4867178405244521
all-mpnet-base-v2,12,25,20,10,20,eom,0.4867178405244521
all-mpnet-base-v2,20,25,20,5,20,eom,0.4867178405244521
all-mpnet-base-v2,14,25,20,10,20,eom,0.4867178405244521
all-mpnet-base-v2,10,25,20,10,20,eom,0.4867178405244521
all-mpnet-base-v2,16,25,20,10,20,eom,0.4867178405244521
all-mpnet-base-v2,8,25,20,15,20,eom,0.4867178405244521
all-mpnet-base-v2,18,25,20,20,20,eom,0.4867178405244521
all-mpnet-base-v2,12,25,20,20,20,eom,0.4867178405244521
all-mpnet-base-v2,18,25,20,10,20,eom,0.4867178405244521
all-mpnet-base-v2,12,25,20,5,20,eom,0.4867178405244521
all-mpnet-base-v2,16,25,20,15,20,eom,0.4867178405244521
all-mpnet-base-v2,10,25,20,5,20,eom,0.4867178405244521
all-mpnet-base-v2,16,25,20,20,20,eom,0.4867178405244521
all-mpnet-base-v2,12,25,10,5,5,eom,0.48643666738450503
all-mpnet-base-v2,6,10,20,5,5,eom,0.4864223059229831
all-mpnet-base-v2,4,10,5,10,10,eom,0.48584515397230366
all-mpnet-base-v2,6,10,5,10,10,eom,0.4858270866404682
all-mpnet-base-v2,16,25,15,20,15,eom,0.48559845742954344
all-mpnet-base-v2,20,25,15,20,15,eom,0.48559845742954344
all-mpnet-base-v2,14,25,15,20,15,eom,0.48559845742954344
all-mpnet-base-v2,8,25,15,20,15,eom,0.48559845742954344
all-mpnet-base-v2,10,25,15,20,15,eom,0.48559845742954344
all-mpnet-base-v2,12,25,15,20,15,eom,0.48559845742954344
all-mpnet-base-v2,18,25,15,20,15,eom,0.48559845742954344
all-mpnet-base-v2,8,5,10,5,5,eom,0.48512483699094816
all-mpnet-base-v2,8,20,15,10,15,eom,0.48447033752437857
all-mpnet-base-v2,8,20,15,5,15,eom,0.48447033752437857
all-mpnet-base-v2,8,20,15,15,15,eom,0.48447033752437857
all-mpnet-base-v2,8,25,25,5,10,eom,0.4844644048539728
all-mpnet-base-v2,10,15,20,5,5,eom,0.4843040770359495
all-mpnet-base-v2,8,10,5,15,15,eom,0.48399610252493935
all-mpnet-base-v2,8,10,5,5,15,eom,0.48399610252493935
all-mpnet-base-v2,8,10,5,10,15,eom,0.48399610252493935
all-mpnet-base-v2,8,20,20,10,10,eom,0.48391482858548734
all-mpnet-base-v2,4,25,5,5,5,eom,0.48368166914339694
all-mpnet-base-v2,12,25,15,15,10,eom,0.4834265573801482
all-mpnet-base-v2,16,25,15,15,10,eom,0.4834265573801482
all-mpnet-base-v2,18,25,15,15,10,eom,0.4834265573801482
all-mpnet-base-v2,20,25,15,15,10,eom,0.4834265573801482
all-mpnet-base-v2,10,25,15,15,10,eom,0.4834265573801482
all-mpnet-base-v2,14,25,15,15,10,eom,0.4834265573801482
all-mpnet-base-v2,8,25,10,15,10,eom,0.48311861324767275
all-mpnet-base-v2,10,20,15,5,5,eom,0.48305041846111396
all-mpnet-base-v2,12,5,25,5,5,eom,0.48292187106436457
all-mpnet-base-v2,6,25,25,5,10,eom,0.4829069548223358
all-mpnet-base-v2,16,15,25,15,20,eom,0.4823310234071498
all-mpnet-base-v2,14,15,25,15,20,eom,0.4823310234071498
all-mpnet-base-v2,10,15,25,15,20,eom,0.4823310234071498
all-mpnet-base-v2,12,15,25,20,20,eom,0.4823310234071498
all-mpnet-base-v2,12,15,25,15,20,eom,0.4823310234071498
all-mpnet-base-v2,18,15,25,15,20,eom,0.4823310234071498
