Topic_modeling_name,model_num,lattice,initialization,mapsize_model,topographic_error,quantization_error
BERT_vector,BERT_vector_model_44_hexa_pca,hexa,pca,"(30, 20)",0.08284023668639054,0.06187831564906142
BERT_vector,BERT_vector_model_44_hexa_random,hexa,random,"(30, 20)",0.04363905325443787,0.06902101990922965
LDA_vector,LDA_vector_model_45_hexa_pca,hexa,pca,"(31, 43)",0.13757396449704143,0.06865781313901793
LDA_vector,LDA_vector_model_45_hexa_random,hexa,random,"(31, 43)",0.18269230769230768,0.06922786485782034
BERT_vector,BERT_vector_model_45_hexa_pca,hexa,pca,"(31, 43)",0.2588757396449704,0.03832286929121579
BERT_vector,BERT_vector_model_45_hexa_random,hexa,random,"(31, 43)",0.24186390532544377,0.05045585619685511
LDA_vector,LDA_vector_model_46_hexa_pca,hexa,pca,"(40, 52)",0.14053254437869822,0.05496885880626244
LDA_vector,LDA_vector_model_46_hexa_random,hexa,random,"(40, 52)",0.09171597633136094,0.05347671068681147
BERT_vector,BERT_vector_model_46_hexa_pca,hexa,pca,"(40, 52)",0.23298816568047337,0.026214508832669715
BERT_vector,BERT_vector_model_46_hexa_random,hexa,random,"(40, 52)",0.1242603550295858,0.03094680964685664
LDA_vector,LDA_vector_model_47_hexa_pca,hexa,pca,"(25, 39)",0.17751479289940827,0.07862242152719898
LDA_vector,LDA_vector_model_47_hexa_random,hexa,random,"(25, 39)",0.12721893491124261,0.08285696713714938
BERT_vector,BERT_vector_model_47_hexa_pca,hexa,pca,"(25, 39)",0.17825443786982248,0.04827597807338735
BERT_vector,BERT_vector_model_47_hexa_random,hexa,random,"(25, 39)",0.4718934911242604,0.04826693463081974
LDA_vector,LDA_vector_model_48_hexa_pca,hexa,pca,"(46, 30)",0.1841715976331361,0.0668400241116241
LDA_vector,LDA_vector_model_48_hexa_random,hexa,random,"(46, 30)",0.17899408284023668,0.06961248973932666
BERT_vector,BERT_vector_model_48_hexa_pca,hexa,pca,"(46, 30)",0.11242603550295859,0.0376489029567448
BERT_vector,BERT_vector_model_48_hexa_random,hexa,random,"(46, 30)",0.4970414201183432,0.03484617519631797
LDA_vector,LDA_vector_model_49_hexa_pca,hexa,pca,"(48, 32)",0.15458579881656806,0.06414850149426564
LDA_vector,LDA_vector_model_49_hexa_random,hexa,random,"(48, 32)",0.10946745562130178,0.06177659776642551
BERT_vector,BERT_vector_model_49_hexa_pca,hexa,pca,"(48, 32)",0.15902366863905326,0.030952599048177
BERT_vector,BERT_vector_model_49_hexa_random,hexa,random,"(48, 32)",0.17455621301775148,0.03254955994297013
LDA_vector,LDA_vector_model_50_hexa_pca,hexa,pca,"(48, 45)",0.15384615384615385,0.05383836188749445
LDA_vector,LDA_vector_model_50_hexa_random,hexa,random,"(48, 45)",0.3047337278106509,0.05738736568265951
BERT_vector,BERT_vector_model_50_hexa_pca,hexa,pca,"(48, 45)",0.128698224852071,0.025222248857510156
BERT_vector,BERT_vector_model_50_hexa_random,hexa,random,"(48, 45)",0.09763313609467456,0.03565493057298923
LDA_vector,LDA_vector_model_51_hexa_pca,hexa,pca,"(53, 46)",0.08653846153846154,0.05059429859358082
LDA_vector,LDA_vector_model_51_hexa_random,hexa,random,"(53, 46)",0.09541420118343195,0.04679831008234826
BERT_vector,BERT_vector_model_51_hexa_pca,hexa,pca,"(53, 46)",0.20192307692307693,0.02243180112614174
BERT_vector,BERT_vector_model_51_hexa_random,hexa,random,"(53, 46)",0.41420118343195267,0.030127375221137648
LDA_vector,LDA_vector_model_52_hexa_pca,hexa,pca,"(19, 25)",0.14423076923076922,0.10829676635285343
LDA_vector,LDA_vector_model_52_hexa_random,hexa,random,"(19, 25)",0.09393491124260354,0.11373316516501754
BERT_vector,BERT_vector_model_52_hexa_pca,hexa,pca,"(19, 25)",0.03772189349112426,0.08601643415864993
BERT_vector,BERT_vector_model_52_hexa_random,hexa,random,"(19, 25)",0.17085798816568049,0.09796880365093687
LDA_vector,LDA_vector_model_53_hexa_pca,hexa,pca,"(46, 44)",0.22485207100591717,0.055734297114265065
LDA_vector,LDA_vector_model_53_hexa_random,hexa,random,"(46, 44)",0.21449704142011836,0.05415102266158607
BERT_vector,BERT_vector_model_53_hexa_pca,hexa,pca,"(46, 44)",0.16568047337278108,0.026513020000635826
BERT_vector,BERT_vector_model_53_hexa_random,hexa,random,"(46, 44)",0.20857988165680474,0.03257293090577268
LDA_vector,LDA_vector_model_54_hexa_pca,hexa,pca,"(40, 23)",0.30177514792899407,0.07950917977066961
LDA_vector,LDA_vector_model_54_hexa_random,hexa,random,"(40, 23)",0.2551775147928994,0.08321865431694712
BERT_vector,BERT_vector_model_54_hexa_pca,hexa,pca,"(40, 23)",0.07100591715976332,0.047149548395491916
BERT_vector,BERT_vector_model_54_hexa_random,hexa,random,"(40, 23)",0.3217455621301775,0.04893188650966467
LDA_vector,LDA_vector_model_55_hexa_pca,hexa,pca,"(41, 49)",0.21227810650887574,0.05662506452287853
LDA_vector,LDA_vector_model_55_hexa_random,hexa,random,"(41, 49)",0.16420118343195267,0.056750515649986656
BERT_vector,BERT_vector_model_55_hexa_pca,hexa,pca,"(41, 49)",0.16937869822485208,0.030434978478759547
BERT_vector,BERT_vector_model_55_hexa_random,hexa,random,"(41, 49)",0.03550295857988166,0.0320370819705527
LDA_vector,LDA_vector_model_56_hexa_pca,hexa,pca,"(52, 37)",0.20192307692307693,0.05755141516659548
LDA_vector,LDA_vector_model_56_hexa_random,hexa,random,"(52, 37)",0.15902366863905326,0.06059664548865005
BERT_vector,BERT_vector_model_56_hexa_pca,hexa,pca,"(52, 37)",0.09985207100591716,0.026728783216989724
BERT_vector,BERT_vector_model_56_hexa_random,hexa,random,"(52, 37)",0.2625739644970414,0.027207256808994
LDA_vector,LDA_vector_model_57_hexa_pca,hexa,pca,"(49, 39)",0.16937869822485208,0.057696797309969905
LDA_vector,LDA_vector_model_57_hexa_random,hexa,random,"(49, 39)",0.21375739644970415,0.05971632704489005
BERT_vector,BERT_vector_model_57_hexa_pca,hexa,pca,"(49, 39)",0.2943786982248521,0.028657528637781055
BERT_vector,BERT_vector_model_57_hexa_random,hexa,random,"(49, 39)",0.22115384615384615,0.03136028656743549
LDA_vector,LDA_vector_model_58_hexa_pca,hexa,pca,"(46, 25)",0.21079881656804733,0.07313528738661645
LDA_vector,LDA_vector_model_58_hexa_random,hexa,random,"(46, 25)",0.20784023668639054,0.07490426963734136
BERT_vector,BERT_vector_model_58_hexa_pca,hexa,pca,"(46, 25)",0.10428994082840237,0.04138803493200593
BERT_vector,BERT_vector_model_58_hexa_random,hexa,random,"(46, 25)",0.23890532544378698,0.05990192197789996
LDA_vector,LDA_vector_model_59_hexa_pca,hexa,pca,"(50, 43)",0.17899408284023668,0.05425290426005435
LDA_vector,LDA_vector_model_59_hexa_random,hexa,random,"(50, 43)",0.08949704142011834,0.058274936042457454
BERT_vector,BERT_vector_model_59_hexa_pca,hexa,pca,"(50, 43)",0.27884615384615385,0.02523431962048757
BERT_vector,BERT_vector_model_59_hexa_random,hexa,random,"(50, 43)",0.533284023668639,0.028994871579916988
LDA_vector,LDA_vector_model_60_hexa_pca,hexa,pca,"(21, 41)",0.21079881656804733,0.08329532921894485
LDA_vector,LDA_vector_model_60_hexa_random,hexa,random,"(21, 41)",0.11760355029585799,0.08512255631141359
BERT_vector,BERT_vector_model_60_hexa_pca,hexa,pca,"(21, 41)",0.14718934911242604,0.05480526724233451
BERT_vector,BERT_vector_model_60_hexa_random,hexa,random,"(21, 41)",0.1834319526627219,0.07434768611542149
LDA_vector,LDA_vector_model_61_hexa_pca,hexa,pca,"(17, 15)",0.06878698224852071,0.1402129803462803
LDA_vector,LDA_vector_model_61_hexa_random,hexa,random,"(17, 15)",0.0628698224852071,0.14556576454935077
BERT_vector,BERT_vector_model_61_hexa_pca,hexa,pca,"(17, 15)",0.019970414201183433,0.12219467911643042
BERT_vector,BERT_vector_model_61_hexa_random,hexa,random,"(17, 15)",0.22928994082840237,0.12218750491864677
LDA_vector,LDA_vector_model_62_hexa_pca,hexa,pca,"(43, 49)",0.3187869822485207,0.0551307295316711
LDA_vector,LDA_vector_model_62_hexa_random,hexa,random,"(43, 49)",0.05695266272189349,0.05654517661436485
